================ Training Loss (Tue Jun 23 10:50:23 2026) ================
(epoch: 770, iters: 1, time: 0.039) lr_pixelwise: 190319.500 rec: 321535.156 rec_orthg: 21638.887 msi_pixelwise: 131215.656 manifold: 99.746 manifold_spa: 15114.854 msi_ss_msi: 130096.273 msi_ss_lr: 34023.430 lrmsi_pixelwise: 1724.823 joint: 359758.500 
(epoch: 780, iters: 1, time: 0.046) lr_pixelwise: 190238.781 rec: 321469.125 rec_orthg: 21655.191 msi_pixelwise: 131230.328 manifold: 100.837 manifold_spa: 15328.385 msi_ss_msi: 130232.172 msi_ss_lr: 33976.066 lrmsi_pixelwise: 1668.352 joint: 359711.969 
(epoch: 790, iters: 1, time: 0.039) lr_pixelwise: 190203.406 rec: 321451.875 rec_orthg: 21730.145 msi_pixelwise: 131248.484 manifold: 101.870 manifold_spa: 15568.735 msi_ss_msi: 130233.367 msi_ss_lr: 33928.062 lrmsi_pixelwise: 1707.076 joint: 359768.875 
(epoch: 800, iters: 1, time: 0.044) lr_pixelwise: 190240.984 rec: 321497.688 rec_orthg: 21900.430 msi_pixelwise: 131256.688 manifold: 102.921 manifold_spa: 15758.459 msi_ss_msi: 130746.641 msi_ss_lr: 33914.930 lrmsi_pixelwise: 3039.805 joint: 360168.250 
(epoch: 810, iters: 1, time: 0.039) lr_pixelwise: 190075.953 rec: 321328.375 rec_orthg: 21006.789 msi_pixelwise: 131252.422 manifold: 103.970 manifold_spa: 15979.986 msi_ss_msi: 123090.469 msi_ss_lr: 33901.695 lrmsi_pixelwise: 5385.056 joint: 358572.875 
(epoch: 820, iters: 1, time: 0.042) lr_pixelwise: 190152.969 rec: 321366.438 rec_orthg: 21044.250 msi_pixelwise: 131213.453 manifold: 104.850 manifold_spa: 16208.085 msi_ss_msi: 130646.688 msi_ss_lr: 34011.984 lrmsi_pixelwise: 2025.603 joint: 359079.125 
(epoch: 830, iters: 1, time: 0.041) lr_pixelwise: 190046.781 rec: 321353.531 rec_orthg: 20408.453 msi_pixelwise: 131306.750 manifold: 105.641 manifold_spa: 16424.584 msi_ss_msi: 130804.734 msi_ss_lr: 33996.215 lrmsi_pixelwise: 1970.343 joint: 358439.125 
(epoch: 840, iters: 1, time: 0.037) lr_pixelwise: 190053.938 rec: 321474.125 rec_orthg: 21063.109 msi_pixelwise: 131420.172 manifold: 106.585 manifold_spa: 16626.410 msi_ss_msi: 130738.297 msi_ss_lr: 34003.980 lrmsi_pixelwise: 2010.701 joint: 359212.562 
(epoch: 850, iters: 1, time: 0.036) lr_pixelwise: 189933.547 rec: 321375.500 rec_orthg: 21022.699 msi_pixelwise: 131441.953 manifold: 107.431 manifold_spa: 16845.354 msi_ss_msi: 130055.992 msi_ss_lr: 34098.246 lrmsi_pixelwise: 2146.743 joint: 359028.281 
(epoch: 860, iters: 1, time: 0.037) lr_pixelwise: 191046.734 rec: 322206.875 rec_orthg: 20701.676 msi_pixelwise: 131160.156 manifold: 111.473 manifold_spa: 17143.943 msi_ss_msi: 126349.930 msi_ss_lr: 34993.883 lrmsi_pixelwise: 5136.468 joint: 359556.594 
